"model_type","ppi_type","design","n","delta","emp_power","mc_se"
"glm_correct","PPI","PPI_noncrossfit",50,0.3,0.366,0.0215427017804174
"glm_correct","PPI","PPI_noncrossfit",50,0.3,0.366,0.0215427017804174
"glm_correct","PPI","PPI_noncrossfit",50,0.3,0.366,0.0215427017804174
"glm_correct","PPI","PPI_noncrossfit",50,0.35,0.478,0.0223390241505756
"glm_correct","PPI","PPI_noncrossfit",50,0.35,0.478,0.0223390241505756
"glm_correct","PPI","PPI_noncrossfit",50,0.35,0.478,0.0223390241505756
"glm_correct","PPI","PPI_noncrossfit",50,0.4,0.596,0.0219446576642243
"glm_correct","PPI","PPI_noncrossfit",50,0.4,0.596,0.0219446576642243
"glm_correct","PPI","PPI_noncrossfit",50,0.4,0.596,0.0219446576642243
"glm_correct","PPI","PPI_noncrossfit",50,0.45,0.678,0.0208957411928843
"glm_correct","PPI","PPI_noncrossfit",50,0.45,0.678,0.0208957411928843
"glm_correct","PPI","PPI_noncrossfit",50,0.45,0.678,0.0208957411928843
"glm_correct","PPI","PPI_noncrossfit",50,0.5,0.782,0.0184648855940133
"glm_correct","PPI","PPI_noncrossfit",50,0.5,0.782,0.0184648855940133
"glm_correct","PPI","PPI_noncrossfit",50,0.5,0.782,0.0184648855940133
"glm_correct","PPI","PPI_noncrossfit",50,0.55,0.842,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.55,0.842,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.55,0.842,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.6,0.892,0.0138806339912844
"glm_correct","PPI","PPI_noncrossfit",50,0.6,0.892,0.0138806339912844
"glm_correct","PPI","PPI_noncrossfit",50,0.6,0.892,0.0138806339912844
"glm_correct","PPI","PPI_noncrossfit",100,0,0.066,0.0111035129576184
"glm_correct","PPI","PPI_noncrossfit",100,0,0.066,0.0111035129576184
"glm_correct","PPI","PPI_noncrossfit",100,0,0.066,0.0111035129576184
"glm_correct","PPI","PPI_noncrossfit",100,0.05,0.09,0.0127984374046209
"glm_correct","PPI","PPI_noncrossfit",100,0.05,0.09,0.0127984374046209
"glm_correct","PPI","PPI_noncrossfit",100,0.05,0.09,0.0127984374046209
"glm_correct","PPI","PPI_noncrossfit",100,0.1,0.154,0.016142118820031
"glm_correct","PPI","PPI_noncrossfit",100,0.1,0.154,0.016142118820031
"glm_correct","PPI","PPI_noncrossfit",100,0.1,0.154,0.016142118820031
"glm_correct","PPI","PPI_noncrossfit",100,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",100,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",100,0.15,0.22,0.0185256578830551
"glm_correct","PPI","PPI_noncrossfit",100,0.2,0.328,0.020995999618975
"glm_correct","PPI","PPI_noncrossfit",100,0.2,0.328,0.020995999618975
"glm_correct","PPI","PPI_noncrossfit",100,0.2,0.328,0.020995999618975
"glm_correct","PPI","PPI_noncrossfit",100,0.25,0.452,0.0222574032627349
"glm_correct","PPI","PPI_noncrossfit",100,0.25,0.452,0.0222574032627349
"glm_correct","PPI","PPI_noncrossfit",100,0.25,0.452,0.0222574032627349
"glm_correct","PPI","PPI_noncrossfit",100,0.3,0.592,0.0219788989715136
"glm_correct","PPI","PPI_noncrossfit",100,0.3,0.592,0.0219788989715136
"glm_correct","PPI","PPI_noncrossfit",100,0.3,0.592,0.0219788989715136
"glm_correct","PPI","PPI_noncrossfit",100,0.35,0.728,0.0199005527561422
"glm_correct","PPI","PPI_noncrossfit",100,0.35,0.728,0.0199005527561422
"glm_correct","PPI","PPI_noncrossfit",100,0.35,0.728,0.0199005527561422
"glm_correct","PPI","PPI_noncrossfit",100,0.4,0.826,0.0169542914921267
"glm_correct","PPI","PPI_noncrossfit",100,0.4,0.826,0.0169542914921267
"glm_correct","PPI","PPI_noncrossfit",100,0.4,0.826,0.0169542914921267
"glm_correct","PPI","PPI_noncrossfit",100,0.45,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",100,0.45,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",100,0.45,0.896,0.013651666564929
"glm_correct","PPI","PPI_noncrossfit",100,0.5,0.94,0.0106207344378814
"glm_correct","PPI","PPI_noncrossfit",100,0.5,0.94,0.0106207344378814
"glm_correct","PPI","PPI_noncrossfit",100,0.5,0.94,0.0106207344378814
"glm_correct","PPI","PPI_noncrossfit",100,0.55,0.976,0.00684455988358638
"glm_correct","PPI","PPI_noncrossfit",100,0.55,0.976,0.00684455988358638
