model_type,ppi_type,n,delta,lambda_mode,PPI_crossfit,PPIpp_crossfit,PPIpp_independent_split,avg_lambda_hat,sd_lambda_hat,lambda_oracle,var_fhat,var_res,cor_Y_fhat,ratio_cov_over_var,N,design
glm_correct,PPI,50,0.5,plugin,TRUE,FALSE,FALSE,1,0,0.9596470211632628,17.368486294025903,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,50,0.5,plugin,TRUE,FALSE,TRUE,1,0,0.9596470211632628,17.368486294025903,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,50,0.5,plugin,TRUE,TRUE,FALSE,1,0,0.9596470211632628,17.368486294025903,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,100,0.5,plugin,FALSE,FALSE,FALSE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0.5,plugin,FALSE,FALSE,TRUE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0.5,plugin,FALSE,TRUE,FALSE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0.5,plugin,TRUE,FALSE,FALSE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
glm_correct,PPI,100,0.5,plugin,TRUE,FALSE,TRUE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
glm_correct,PPI,100,0.5,plugin,TRUE,TRUE,FALSE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
glm_correct,PPI,150,0.5,plugin,FALSE,FALSE,FALSE,1,0,0.9267832431374059,16.897757578676213,1.0579157160209485,0.96585248162913,0.9962919863727113,2000,PPI_noncrossfit
glm_correct,PPI,150,0.5,plugin,FALSE,FALSE,TRUE,1,0,0.9267832431374059,16.897757578676213,1.0579157160209485,0.96585248162913,0.9962919863727113,2000,PPI_noncrossfit
glm_correct,PPI,150,0.5,plugin,FALSE,TRUE,FALSE,1,0,0.9267832431374059,16.897757578676213,1.0579157160209485,0.96585248162913,0.9962919863727113,2000,PPI_noncrossfit
glm_correct,PPI,150,0.5,plugin,TRUE,FALSE,FALSE,1,0,0.9257039581397399,17.086765940553825,1.0735184481054765,0.9646678840924694,0.9951317550002204,2000,PPI_crossfit
glm_correct,PPI,150,0.5,plugin,TRUE,FALSE,TRUE,1,0,0.9257039581397399,17.086765940553825,1.0735184481054765,0.9646678840924694,0.9951317550002204,2000,PPI_crossfit
glm_correct,PPI,150,0.5,plugin,TRUE,TRUE,FALSE,1,0,0.9257039581397399,17.086765940553825,1.0735184481054765,0.9646678840924694,0.9951317550002204,2000,PPI_crossfit
glm_correct,PPI,200,0.5,plugin,FALSE,FALSE,FALSE,1,0,0.9068105205123267,16.919910521992787,1.0345031122674606,0.9677453212929374,0.9974915725635594,2000,PPI_noncrossfit
glm_correct,PPI,200,0.5,plugin,FALSE,FALSE,TRUE,1,0,0.9068105205123267,16.919910521992787,1.0345031122674606,0.9677453212929374,0.9974915725635594,2000,PPI_noncrossfit
glm_correct,PPI,200,0.5,plugin,FALSE,TRUE,FALSE,1,0,0.9068105205123267,16.919910521992787,1.0345031122674606,0.9677453212929374,0.9974915725635594,2000,PPI_noncrossfit
